case,voyage-code-4@1024,voyage-code-3@1024,voyage-4-large@1024,voyage-4-large@256,voyage-4-lite@1024,voyage-3-large@1024,text-embedding-3-large@3072,text-embedding-3-small@1536,gemini-embedding-2@3072,gemini-embedding-2@3072|sim,jina-embeddings-v2-base-code@768|local,jina-embeddings-v2-base-code@768,jina-code-embeddings-1.5b@1536,jina-code-embeddings-1.5b@256,jina-code-embeddings-0.5b@896,jina-code-embeddings-0.5b@256,jina-code-embeddings-0.5b@256|c2cQ,jina-code-embeddings-0.5b@256|c2cP,cohere-embed-4@1536
high/exact-copy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
high/formatting,0.9695,0.9853,0.9542,0.9561,0.9776,0.9789,0.9873,0.9899,0.9663,0.991,0.988,0.9878,0.9945,0.9951,0.9939,0.9941,0.9949,0.9942,0.9915
high/lang-similar-syntax,0.8801,0.9291,0.8876,0.8757,0.9119,0.9215,0.8012,0.8465,0.9404,0.9616,0.9528,0.9527,0.9264,0.935,0.9241,0.9319,0.9241,0.932,0.8888
high/lang-different-syntax,0.8095,0.9066,0.8501,0.8515,0.8656,0.9,0.694,0.7146,0.9225,0.9562,0.8763,0.877,0.8689,0.8896,0.8938,0.9008,0.9145,0.8911,0.8283
high/renamed-identifiers,0.801,0.8987,0.8366,0.8313,0.8539,0.8876,0.6768,0.707,0.8992,0.9562,0.803,0.8039,0.7401,0.7579,0.6985,0.7165,0.7269,0.7108,0.7336
high/different-literals,0.9114,0.9361,0.8657,0.8701,0.9271,0.9267,0.9202,0.9402,0.8931,0.9537,0.9543,0.9545,0.88,0.889,0.9179,0.925,0.8514,0.9122,0.9123
high/reordered-statements,0.9951,0.9945,0.9885,0.9881,0.994,0.9955,0.9553,0.9644,0.9797,0.9916,0.9751,0.9749,0.9559,0.9591,0.9668,0.9688,0.9583,0.964,0.9799
high/refactored-structure,0.9823,0.9903,0.9814,0.9799,0.9862,0.9913,0.9573,0.9479,0.9767,0.9922,0.9664,0.9667,0.9722,0.9746,0.9582,0.9607,0.9564,0.9593,0.9554
high/small-addition,0.9872,0.9886,0.983,0.9834,0.9871,0.9895,0.98,0.9892,0.9817,0.9915,0.9844,0.9845,0.9851,0.9864,0.973,0.9739,0.9588,0.9704,0.9711
high/small-additions-large,0.9933,0.9947,0.9897,0.9893,0.995,0.995,0.9948,0.9953,0.9877,0.9928,0.9948,0.9947,0.9947,0.9956,0.9926,0.9934,0.9891,0.9931,0.9903
high/different-algorithm,0.7825,0.8779,0.802,0.7963,0.7441,0.8672,0.6787,0.6319,0.8735,0.9328,0.6919,0.6932,0.749,0.7753,0.6506,0.679,0.6567,0.6725,0.653
high/transpiled,0.9611,0.9625,0.9419,0.939,0.9583,0.9516,0.8966,0.8931,0.9488,0.9771,0.9193,0.9192,0.9502,0.9534,0.9372,0.9381,0.9392,0.9445,0.9397
high/code-and-text,0.5351,0.7214,0.6137,0.6062,0.6301,0.7152,0.4002,0.4003,0.7202,0.8679,0.5933,0.5949,0.5384,0.5748,0.5368,0.5581,0.5575,0.5638,0.4621
low/unrelated,0.4307,0.4984,0.2961,0.2837,0.3334,0.5036,0.2457,0.276,0.5926,0.7345,0.1346,0.1363,0.1479,0.1311,0.1059,0.1187,0.079,0.1087,0.2979
low/same-identifiers,0.827,0.8589,0.7744,0.7698,0.8391,0.8611,0.8379,0.8612,0.8173,0.9057,0.7876,0.7881,0.7595,0.7652,0.7996,0.8055,0.7037,0.7903,0.8055
low/small-shared-fragment,0.5898,0.6127,0.4631,0.4652,0.4878,0.6188,0.4485,0.5339,0.7039,0.8043,0.3121,0.3141,0.2851,0.3008,0.1976,0.193,0.1181,0.1737,0.4421
low/small-shared-fragments-large,0.5164,0.654,0.5054,0.5049,0.5287,0.6741,0.5002,0.6156,0.7523,0.826,0.3885,0.3895,0.4028,0.4206,0.3653,0.3788,0.3463,0.3943,0.4901
low/same-boilerplate,0.7448,0.6653,0.5649,0.5324,0.5621,0.6645,0.5514,0.5776,0.7527,0.8432,0.47,0.4705,0.4784,0.4981,0.3968,0.3789,0.2816,0.3648,0.5675
low/code-and-text,0.2682,0.4062,0.1709,0.1733,0.2369,0.4195,0.1387,0.19,0.4904,0.7282,0.2154,0.2166,0.125,0.1511,0.1036,0.1176,0.0684,0.102,0.2067
