case,voyage-code-4@1024,voyage-code-3@1024,voyage-4-large@1024,voyage-4-large@256,voyage-4-lite@1024,voyage-3-large@1024,text-embedding-3-large@3072,text-embedding-3-small@1536,gemini-embedding-2@3072,gemini-embedding-2@3072|sim,jina-embeddings-v2-base-code@768|local,jina-embeddings-v2-base-code@768,jina-code-embeddings-1.5b@1536,jina-code-embeddings-1.5b@256,jina-code-embeddings-0.5b@896,jina-code-embeddings-0.5b@256,jina-code-embeddings-0.5b@256|c2cQ,jina-code-embeddings-0.5b@256|c2cP,cohere-embed-4@1536
high/exact-copy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high/formatting,0.0183,0.0078,0.0257,0.0232,0.0194,0.0095,0.0058,0.0057,0.0103,0.0024,0.0062,0.0063,0.0061,0.0053,0.0035,0.0035,0.0023,0.0031,0.003
high/lang-similar-syntax,0.0766,0.0262,0.0442,0.0502,0.0402,0.0286,0.0642,0.051,0.019,0.0142,0.0213,0.0214,0.0525,0.048,0.0259,0.0199,0.0242,0.0218,0.0447
high/lang-different-syntax,0.0534,0.0342,0.0691,0.0703,0.0816,0.0358,0.0703,0.0648,0.0323,0.0165,0.0813,0.0811,0.0752,0.0657,0.0616,0.0608,0.0549,0.0693,0.0494
high/renamed-identifiers,0.1079,0.047,0.0495,0.0525,0.0676,0.0397,0.0972,0.1177,0.0244,0.0117,0.092,0.091,0.0923,0.088,0.0955,0.1004,0.1133,0.1069,0.0659
high/different-literals,0.025,0.0391,0.0395,0.0406,0.0202,0.0356,0.0332,0.0313,0.0375,0.0196,0.0322,0.0319,0.0473,0.0443,0.0453,0.0411,0.0708,0.0494,0.0284
high/reordered-statements,0.003,0.0026,0.0052,0.0058,0.0048,0.002,0.0291,0.0245,0.0088,0.0031,0.0377,0.0378,0.0375,0.038,0.0182,0.018,0.0168,0.0215,0.0112
high/refactored-structure,0.027,0.004,0.0145,0.0169,0.0145,0.0047,0.0328,0.051,0.0101,0.0031,0.0381,0.0381,0.0236,0.0218,0.0396,0.0397,0.0438,0.0459,0.0291
high/small-addition,0.0103,0.0111,0.0132,0.0137,0.0132,0.0082,0.0203,0.0096,0.0087,0.0029,0.0139,0.0138,0.0164,0.0146,0.0293,0.0285,0.0378,0.0327,0.027
high/small-additions-large,0.0028,0.003,0.0053,0.0054,0.0025,0.0039,0.0029,0.003,0.0038,0.003,0.0022,0.0022,0.0034,0.0029,0.0052,0.0047,0.0097,0.0047,0.0046
high/different-algorithm,0.0543,0.0221,0.0286,0.0371,0.0353,0.0278,0.0576,0.0755,0.0311,0.0166,0.0634,0.0631,0.0553,0.0646,0.0677,0.0682,0.0753,0.0703,0.0444
high/transpiled,0.0257,0.0157,0.0162,0.0166,0.012,0.0154,0.0452,0.0505,0.0146,0.0085,0.031,0.0312,0.0253,0.0235,0.0282,0.0301,0.0354,0.032,0.0206
high/code-and-text,0.0603,0.0333,0.0641,0.0753,0.051,0.0393,0.0699,0.0384,0.0383,0.0222,0.0745,0.0742,0.0765,0.0739,0.0738,0.0701,0.0757,0.0712,0.0531
low/unrelated,0.0926,0.0393,0.0439,0.0481,0.0576,0.0286,0.0903,0.126,0.0506,0.0336,0.0855,0.0851,0.0792,0.0804,0.0858,0.1074,0.096,0.1046,0.0807
low/same-identifiers,0.0495,0.0397,0.0721,0.0794,0.0657,0.0469,0.0522,0.0708,0.0444,0.0263,0.0622,0.0617,0.0911,0.0925,0.0734,0.0659,0.1254,0.0727,0.0533
low/small-shared-fragment,0.1277,0.0563,0.0842,0.0703,0.0935,0.0535,0.1142,0.1148,0.074,0.0404,0.1622,0.1616,0.0776,0.0742,0.1108,0.1243,0.1321,0.125,0.0968
low/small-shared-fragments-large,0.0963,0.0347,0.0724,0.0867,0.0722,0.0334,0.0856,0.089,0.0297,0.0263,0.1151,0.1159,0.0814,0.1048,0.0802,0.0836,0.0882,0.0959,0.0708
low/same-boilerplate,0.1155,0.0583,0.0888,0.1177,0.0757,0.0628,0.0579,0.0707,0.0397,0.0327,0.1387,0.1387,0.0939,0.0981,0.1027,0.1085,0.1084,0.1117,0.0903
low/code-and-text,0.0676,0.0674,0.1007,0.1081,0.0817,0.0667,0.0748,0.0622,0.0352,0.0235,0.1078,0.1079,0.0706,0.0956,0.0701,0.0711,0.0723,0.0712,0.0583
