model,avg_high,avg_low,gap,code description,code behavior,boilerplate impact,identifier insensitivity
voyage-code-4@1024,0.8929,0.5628,0.3301,0.2669,0.3518,0.3141,-0.026
voyage-code-3@1024,0.9374,0.6159,0.3215,0.3152,0.3795,0.1669,0.0398
voyage-4-large@1024,0.8996,0.4625,0.4371,0.4428,0.5059,0.2688,0.0622
voyage-4-large@256,0.8975,0.4549,0.4426,0.4329,0.5126,0.2487,0.0615
voyage-4-lite@1024,0.9101,0.498,0.4121,0.3932,0.4107,0.2287,0.0148
voyage-3-large@1024,0.9323,0.6236,0.3087,0.2957,0.3636,0.1609,0.0265
text-embedding-3-large@3072,0.8417,0.4537,0.388,0.2615,0.433,0.3057,-0.1611
text-embedding-3-small@1536,0.8477,0.5091,0.3386,0.2103,0.3559,0.3016,-0.1542
gemini-embedding-2@3072,0.93,0.6849,0.2451,0.2298,0.2809,0.1601,0.0819
gemini-embedding-2@3072|sim,0.9665,0.807,0.1595,0.1397,0.1983,0.1087,0.0505
jina-embeddings-v2-base-code@768|local,0.9,0.3847,0.5153,0.3779,0.5573,0.3354,0.0154
jina-embeddings-v2-base-code@768,0.9003,0.3859,0.5144,0.3783,0.5569,0.3342,0.0158
jina-code-embeddings-1.5b@1536,0.8889,0.3664,0.5225,0.4134,0.6011,0.3305,-0.0194
jina-code-embeddings-1.5b@256,0.8989,0.3778,0.5211,0.4237,0.6442,0.367,-0.0073
jina-code-embeddings-0.5b@896,0.8803,0.3281,0.5522,0.4332,0.5447,0.2909,-0.1011
jina-code-embeddings-0.5b@256,0.8877,0.3321,0.5556,0.4405,0.5603,0.2602,-0.089
jina-code-embeddings-0.5b@256|c2cQ,0.8791,0.2662,0.6129,0.4891,0.5777,0.2026,0.0232
jina-code-embeddings-0.5b@256|c2cP,0.8852,0.3223,0.5629,0.4618,0.5638,0.2561,-0.0795
cohere-embed-4@1536,0.8697,0.4683,0.4014,0.2554,0.3551,0.2696,-0.0719
